# The DELETION ratchet — every name a plan has promised to remove, and how much of it is left.
# GENERATED FLOOR: `floor` is re-recorded DOWNWARD by `mise run deletion-record`. It may never
# rise; a rise is the gate failing. The migration owning a plan is finished when every one of
# its floors is 0 — coverage reaching 100% with a non-empty list here is a FAILED migration.
# `kind=symbol` is measured by LSP references (declaration included) across src/ scripts/ test/;
# `kind=pattern` is a regex counted over src/. See scripts/deletion-check.ts.
plan	kind	key	floor	note
relir	symbol	expandRepeatBody	2	§4.2 flatten — the hand-written join-flattener dies once the P1 envelope is a pass
relir	symbol	REPEAT_BODY_OK	2	Phase 3 exit — the row-local vocabulary gate dissolves with flatten
relir	symbol	runWriteChainFull	3	Phase 2.6 — the second step dispatcher
relir	symbol	parseEdgeCluster	3	Phase 2.6
relir	symbol	parseVertexSpec	6	Phase 2.6
relir	symbol	parseMergeOptions	0	Phase 2.6
relir	symbol	resolveEndpoint	6	Phase 2.6
relir	symbol	materializeElementDrivers	4	Phase 2.6 — Insert.source IS a read plan, so there is no driver to materialize
relir	symbol	WritePlan	15	Phase 2.6 — a write is Plan.bindings, not a private run(store)
relir	symbol	TailAcc	13	Phase 4.2 — the block assembler (§5) is where fusion happens instead
relir	symbol	globalRowOps	10	Phase 4.1 — the row-algebraic half of the 11 dispatch tables
relir	symbol	runFastPath	14	Phase 4.4 §4.7 — a fast path becomes a plan rewrite
relir	symbol	appliesWhen	9	Phase 4.4 §4.7 — the recognition-vs-support split; "no rewrite fired" replaces it
relir	pattern	continueLowering\(lowerGlobalCount\(s\), at \+ 1\)	7	the five-copy count adapter (analytics §3); lowerGlobalCount itself stays
relir	pattern	\['where', aliasCompareRows\]	4	the four-copy where adapter (analytics §3); aliasCompareRows itself stays
relir-own	symbol	PriorResult	0	deleted by §3.0 (3057e89) — this row keeps it dead
relir-own	symbol	Sequence	0	deleted by §3.0 (3057e89) — ordering IS Plan.bindings
relir-own	symbol	returningType	0	deleted by §3.0 (3057e89) — a statement's result is a relation like any other
relir-own	symbol	emitStmt	0	deleted by §3.0 (3057e89) — emit is ONE entry point over a program
relir-own	symbol	emitSequence	0	deleted by §3.0 (3057e89)
relir-own	symbol	externalAliases	0	deleted by §3.0 (3057e89) — the statement-only back channel
relir-own	symbol	bareColumns	0	deleted by §3.0 (3057e89) — the statement-only back channel
relir-own	symbol	Membership	0	deleted by §10·6 (bedf49e/50e883d) — membership is an InQuery predicate
relir-own	symbol	sameLayout	0	§2 — layout equality is list equality over Channels
relir-own	symbol	LAYOUT_FIELD	0	deleted by §10·10 — the Channels→TraverserLayout bridge, whose null roles WERE the path wall
relir-own	symbol	layoutOf	0	deleted by §10·10 — with the payload projection inside the algebra there is no seam to translate at
